eq,Saison,matchs,wr,FGA,TPA,TPM,poss,INT,dep_star,pace,PTS,Pint,P2c,PCA,Pbanc,taille_moy,pct_raquette,pct_3pts_pts,pct_CA,pct_2e_chance,pct_banc,part_3pts_tirs,gambling_def,style
angers,23-24,22,0.4090909090909091,1416.0,477.0,133.0,1668.8799999999999,209.0,0.2626943003394339,75.85818181818182,1502.0,570.0,181.0,173.0,282.0,1.8154314658494386,0.3794940079890949,0.2656458055923664,0.11517976031949721,0.12050599201057223,0.1877496671103943,0.33686440677942314,0.12523368966005632,4
angers,24-25,22,0.5454545454545454,1358.0,386.0,111.0,1643.24,160.0,0.2724003718263551,74.69272727272727,1567.0,726.0,230.0,209.0,430.0,1.8167631873467538,0.46330567964233355,0.21250797702602903,0.133375877472793,0.14677728142938942,0.27440970006364107,0.2842415316640028,0.09736861322746686,3
basket landes,23-24,22,0.7272727272727273,1381.0,446.0,130.0,1692.56,188.0,0.23731958781242019,76.93454545454546,1640.0,758.0,221.0,250.0,555.0,1.8322021133298145,0.4621951219509377,0.23780487804863548,0.15243902439015095,0.13475609756089343,0.3384146341461351,0.32295438088318396,0.11107434891518701,0
basket landes,24-25,22,0.6818181818181818,1360.0,494.0,159.0,1674.2,200.0,0.26831947288720465,76.10000000000001,1580.0,706.0,196.0,236.0,532.0,1.832022093343373,0.4468354430376919,0.3018987341770241,0.1493670886075004,0.1240506329113139,0.3367088607592806,0.36323529411738,0.11946004061634245,0
bourges,23-24,22,0.8181818181818182,1344.0,465.0,147.0,1618.24,204.0,0.23155364696876976,73.55636363636364,1739.0,786.0,257.0,301.0,597.0,1.819001977803778,0.4519838987921495,0.25359401955132055,0.17308798159852037,0.14778608395621173,0.3433007475558693,0.34598214285688544,0.12606288313221398,0
bourges,24-25,22,0.8636363636363636,1409.0,423.0,147.0,1686.68,188.0,0.23488916439864457,76.66727272727273,1750.0,788.0,233.0,204.0,532.0,1.8046494793463164,0.450285714285457,0.251999999999856,0.11657142857136196,0.13314285714278107,0.3039999999998263,0.3002129169621716,0.11146156947369301,3
charleville,23-24,22,0.4090909090909091,1260.0,502.0,155.0,1593.12,188.0,0.26948898754805173,72.41454545454545,1501.0,610.0,180.0,251.0,577.0,1.8197603290921964,0.406395736175612,0.3097934710191141,0.16722185209848953,0.11992005329772157,0.3844103930710297,0.3984126984123822,0.11800743195734283,0
charleville,24-25,22,0.5909090909090909,1359.0,501.0,160.0,1748.28,237.0,0.2570135546986548,79.46727272727273,1557.0,660.0,165.0,277.0,406.0,1.808197188462924,0.423892100192406,0.3082851637762953,0.17790622992923705,0.1059730250481015,0.2607578676941164,0.3686534216332828,0.13556180932108383,4
charnay,23-24,22,0.5,1390.0,489.0,164.0,1650.04,236.0,0.2696591112666924,75.00181818181818,1643.0,710.0,205.0,291.0,403.0,1.8068825799834458,0.43213633597052215,0.2994522215457703,0.17711503347524218,0.12477175897740428,0.24528301886777523,0.35179856115082603,0.14302683571298694,4
chartres,24-25,22,0.13636363636363635,1326.0,425.0,136.0,1707.24,213.0,0.2505271092387464,77.60181818181819,1508.0,624.0,180.0,272.0,606.0,1.8237650881116674,0.41379310344800146,0.27055702917753943,0.18037135278502628,0.11936339522538504,0.401856763925463,0.3205128205125788,0.12476277500519858,0
landerneau,23-24,21,0.3333333333333333,1261.0,449.0,141.0,1580.8400000000001,177.0,0.3246667571376788,75.27809523809525,1515.0,316.0,106.0,112.0,212.0,1.8068084848354182,0.2085808580856709,0.27920792079189494,0.07392739273922513,0.06996699669962378,0.13993399339924756,0.3560666137982902,0.11196579033924244,1
landerneau,24-25,22,0.3181818181818182,1370.0,429.0,110.0,1637.44,179.0,0.2763052443591369,74.42909090909092,1441.0,642.0,238.0,173.0,382.0,1.79506410974767,0.4455239417068386,0.22900763358762735,0.12005551700199857,0.16516308119350093,0.26509368494082924,0.3131386861311583,0.10931698260692953,3
lyon,23-24,22,0.5,1306.0,512.0,169.0,1660.44,168.0,0.2738684185444368,75.47454545454546,1596.0,584.0,159.0,169.0,348.0,1.8314818136493618,0.36591478696718926,0.3176691729321318,0.1058897243107106,0.09962406015031353,0.21804511278181826,0.39203675344533534,0.10117800101171907,2
lyon,24-25,22,0.5,1372.0,540.0,163.0,1699.44,186.0,0.2486930537002989,77.24727272727273,1613.0,662.0,192.0,199.0,433.0,1.8281760484744984,0.4104153750772409,0.30316181029119454,0.12337259764406487,0.11903285802844449,0.2684438933662316,0.3935860058306169,0.10944781810472305,2
montpellier,23-24,22,0.5909090909090909,1253.0,481.0,178.0,1615.2,216.0,0.26310872263331314,73.41818181818182,1622.0,656.0,181.0,219.0,384.0,1.801736258471579,0.4044389642414276,0.32922318125750355,0.13501849568425708,0.11159062885319877,0.2367447595559576,0.38387869114095463,0.1337295690935279,4
montpellier,24-25,22,0.6818181818181818,1328.0,493.0,165.0,1608.48,196.0,0.24469433997055504,73.11272727272727,1581.0,620.0,234.0,207.0,514.0,1.7831108443795012,0.39215686274485,0.3130929791269367,0.13092979127126445,0.1480075901327337,0.3251106894368595,0.3712349397587566,0.12185417288364055,4
roche vendee,23-24,21,0.19047619047619047,1256.0,421.0,124.0,1649.32,159.0,0.2802008056038186,78.53904761904762,1484.0,624.0,161.0,210.0,298.0,1.789275909973427,0.420485175201873,0.2506738544472704,0.1415094339621688,0.10849056603766274,0.20080862533679192,0.3351910828022809,0.09640336623572357,3
roche vendee,24-25,22,0.2727272727272727,1398.0,587.0,152.0,1738.72,158.0,0.30513106917090294,79.03272727272727,1457.0,610.0,196.0,203.0,402.0,1.8176538399313371,0.4186684969111746,0.31297185998605836,0.13932738503765318,0.1345229924501479,0.2759094028824462,0.419885550786538,0.09087144566112378,2
villeneuve ascq,23-24,22,0.8636363636363636,1359.0,556.0,210.0,1684.16,212.0,0.22324075649208483,76.55272727272728,1845.0,714.0,262.0,213.0,533.0,1.8225691282494487,0.38699186991848944,0.3414634146339613,0.11544715447148214,0.1420054200541236,0.2888888888887323,0.4091243561439227,0.12587877636321615,2
villeneuve ascq,24-25,22,0.3181818181818182,1366.0,456.0,136.0,1676.8,181.0,0.27637955986406654,76.21818181818182,1515.0,662.0,216.0,175.0,364.0,1.8275928557759773,0.43696369636934856,0.2693069306928915,0.11551155115503926,0.14257425742564847,0.24026402640248168,0.3338213762808684,0.10794370229001196,3
